SettlementDate,SettlementPeriod,Demand
2016-01-11,40,47039
2016-01-11,41,45283
2016-01-11,42,43411
2016-01-11,43,41386
2016-01-11,44,38729
2016-01-11,45,36215
2016-01-11,46,34120
2016-01-11,47,31663
2016-01-11,48,30073
2016-01-12,1,30236
2016-01-12,2,30932
2016-01-12,3,30970
2016-01-12,4,30395
2016-01-12,5,29826
2016-01-12,6,29779
2016-01-12,7,29416
2016-01-12,8,28700
2016-01-12,9,28448
2016-01-12,10,28363
2016-01-12,11,28962
2016-01-12,12,30247
2016-01-12,13,32426
2016-01-12,14,35490
2016-01-12,15,39939
2016-01-12,16,42169
2016-01-12,17,42992
2016-01-12,18,42823
2016-01-12,19,43294
2016-01-12,20,43327
2016-01-12,21,43089
2016-01-12,22,42944
2016-01-12,23,43280
2016-01-12,24,43506
2016-01-12,25,44060
2016-01-12,26,44071
2016-01-12,27,44141
2016-01-12,28,44077
2016-01-12,29,44299
2016-01-12,30,44023
2016-01-12,31,44066
2016-01-12,32,45323
2016-01-12,33,47110
2016-01-12,34,49217
2016-01-12,35,49671
2016-01-12,36,49425
2016-01-12,37,49543
2016-01-12,38,49326
2016-01-12,39,48312
2016-01-12,40,46986
2016-01-12,41,45519
2016-01-12,42,43583
2016-01-12,43,41381
2016-01-12,44,38859
2016-01-12,45,36287
2016-01-12,46,34066
2016-01-12,47,31658
2016-01-12,48,30386
2016-01-13,1,30622
2016-01-13,2,31599
2016-01-13,3,31585
2016-01-13,4,30975
2016-01-13,5,30555
2016-01-13,6,30606
2016-01-13,7,30470
2016-01-13,8,29925
2016-01-13,9,29565
2016-01-13,10,29609
2016-01-13,11,30357
2016-01-13,12,31575
2016-01-13,13,34033
2016-01-13,14,36989
2016-01-13,15,41323
2016-01-13,16,43995
2016-01-13,17,44842
2016-01-13,18,44615
2016-01-13,19,45036
2016-01-13,20,45068
2016-01-13,21,44851
2016-01-13,22,44626
2016-01-13,23,44442
2016-01-13,24,44368
2016-01-13,25,44492
2016-01-13,26,44432
2016-01-13,27,44363
2016-01-13,28,44396
2016-01-13,29,44773
2016-01-13,30,45075
2016-01-13,31,45515
2016-01-13,32,46599
2016-01-13,33,48334
2016-01-13,34,50064
2016-01-13,35,50516
2016-01-13,36,50176
2016-01-13,37,49817
2016-01-13,38,50000
2016-01-13,39,49449
2016-01-13,40,48181
2016-01-13,41,47015
2016-01-13,42,45045
2016-01-13,43,42715
2016-01-13,44,40206
2016-01-13,45,38076
2016-01-13,46,35535
2016-01-13,47,32825
2016-01-13,48,31372
2016-01-14,1,31378
2016-01-14,2,31596
2016-01-14,3,31486
2016-01-14,4,31290
2016-01-14,5,31008
2016-01-14,6,31035
2016-01-14,7,30546
2016-01-14,8,30109
2016-01-14,9,29834
2016-01-14,10,29934
2016-01-14,11,30274
2016-01-14,12,30808
2016-01-14,13,33264
2016-01-14,14,36689
2016-01-14,15,40940
2016-01-14,16,43454
2016-01-14,17,44335
2016-01-14,18,43989
2016-01-14,19,44640
2016-01-14,20,44841
2016-01-14,21,44739
2016-01-14,22,44716
2016-01-14,23,44670
2016-01-14,24,44653
2016-01-14,25,44619
2016-01-14,26,44424
2016-01-14,27,44133
2016-01-14,28,43920
2016-01-14,29,43716
2016-01-14,30,43795
2016-01-14,31,43983
2016-01-14,32,45261
2016-01-14,33,46655
2016-01-14,34,48446
2016-01-14,35,49733
2016-01-14,36,49758
2016-01-14,37,49966
2016-01-14,38,49726
2016-01-14,39,49338
2016-01-14,40,47995
2016-01-14,41,46581
2016-01-14,42,44898
2016-01-14,43,42699
2016-01-14,44,40000
2016-01-14,45,37501
2016-01-14,46,35335
2016-01-14,47,32903
2016-01-14,48,31668
2016-01-15,1,32052
2016-01-15,2,32279
2016-01-15,3,32445
2016-01-15,4,31910
2016-01-15,5,31411
2016-01-15,6,31366
2016-01-15,7,31021
2016-01-15,8,30635
2016-01-15,9,30341
2016-01-15,10,30310
2016-01-15,11,30780
2016-01-15,12,31802
2016-01-15,13,33984
2016-01-15,14,37320
2016-01-15,15,41526
2016-01-15,16,44157
2016-01-15,17,45046
2016-01-15,18,44866
2016-01-15,19,45345
2016-01-15,20,45151
2016-01-15,21,44653
2016-01-15,22,44229
2016-01-15,23,43890
2016-01-15,24,43435
2016-01-15,25,43136
2016-01-15,26,42729
2016-01-15,27,42432
2016-01-15,28,42352
2016-01-15,29,42619
2016-01-15,30,42864
2016-01-15,31,43284
2016-01-15,32,44541
2016-01-15,33,46334
2016-01-15,34,48740
2016-01-15,35,50085
2016-01-15,36,50059
2016-01-15,37,49648
2016-01-15,38,49236
2016-01-15,39,48421
2016-01-15,40,46953
2016-01-15,41,45536
2016-01-15,42,43895
2016-01-15,43,41942
2016-01-15,44,39851
2016-01-15,45,37763
2016-01-15,46,36140
2016-01-15,47,33833
2016-01-15,48,32464
2016-01-16,1,32265
2016-01-16,2,32643
2016-01-16,3,32959
2016-01-16,4,32265
2016-01-16,5,32159
2016-01-16,6,32107
2016-01-16,7,31548
2016-01-16,8,31093
2016-01-16,9,30905
2016-01-16,10,30582
2016-01-16,11,30677
2016-01-16,12,30967
2016-01-16,13,31485
2016-01-16,14,31898
2016-01-16,15,33532
2016-01-16,16,34922
2016-01-16,17,37040
2016-01-16,18,38963
2016-01-16,19,40425
2016-01-16,20,40967
2016-01-16,21,41416
2016-01-16,22,41576
2016-01-16,23,41696
2016-01-16,24,41840
2016-01-16,25,41794
2016-01-16,26,41592
2016-01-16,27,41264
2016-01-16,28,40904
2016-01-16,29,41033
2016-01-16,30,41165
2016-01-16,31,41632
2016-01-16,32,42273
2016-01-16,33,44027
2016-01-16,34,46834
2016-01-16,35,48838
2016-01-16,36,49200
2016-01-16,37,48626
2016-01-16,38,47596
2016-01-16,39,46154
2016-01-16,40,44286
2016-01-16,41,42943
2016-01-16,42,41329
2016-01-16,43,39795
2016-01-16,44,38100
2016-01-16,45,36476
2016-01-16,46,35256
2016-01-16,47,33564
2016-01-16,48,32494
2016-01-17,1,32180
2016-01-17,2,32536
2016-01-17,3,32581
2016-01-17,4,32056
2016-01-17,5,31899
2016-01-17,6,31795
2016-01-17,7,31585
2016-01-17,8,30980
2016-01-17,9,30385
2016-01-17,10,30028
2016-01-17,11,29968
2016-01-17,12,30076
2016-01-17,13,30468
2016-01-17,14,30881
2016-01-17,15,31033
2016-01-17,16,31208
2016-01-17,17,32543
2016-01-17,18,34457
2016-01-17,19,36783
2016-01-17,20,38447
2016-01-17,21,39904
2016-01-17,22,40759
2016-01-17,23,41392
2016-01-17,24,41858
2016-01-17,25,42345
2016-01-17,26,42334
2016-01-17,27,42177
2016-01-17,28,41990
2016-01-17,29,42123
2016-01-17,30,42238
2016-01-17,31,42777
2016-01-17,32,43368
2016-01-17,33,45058
2016-01-17,34,47551
2016-01-17,35,48492
2016-01-17,36,48308
2016-01-17,37,47417
2016-01-17,38,46292
2016-01-17,39,44928
2016-01-17,40,43553
2016-01-17,41,42182
2016-01-17,42,40481
2016-01-17,43,38833
2016-01-17,44,36942
2016-01-17,45,34918
2016-01-17,46,32881
2016-01-17,47,31077
2016-01-17,48,30209
2016-01-18,1,30026
2016-01-18,2,30103
2016-01-18,3,30623
2016-01-18,4,30450
2016-01-18,5,30448
2016-01-18,6,30523
2016-01-18,7,30220
2016-01-18,8,29920
2016-01-18,9,29663
2016-01-18,10,29762
2016-01-18,11,30421
2016-01-18,12,31460
2016-01-18,13,34185
2016-01-18,14,37528
2016-01-18,15,42184
2016-01-18,16,44748
2016-01-18,17,45893
2016-01-18,18,46066
2016-01-18,19,46865
2016-01-18,20,47354
2016-01-18,21,47577
2016-01-18,22,47660
2016-01-18,23,47803
2016-01-18,24,47929
2016-01-18,25,48159
2016-01-18,26,48072
2016-01-18,27,47970
2016-01-18,28,47731
2016-01-18,29,47821
2016-01-18,30,47631
2016-01-18,31,47831
2016-01-18,32,48804
2016-01-18,33,50284
2016-01-18,34,51739
2016-01-18,35,52442
2016-01-18,36,52140
2016-01-18,37,51528
2016-01-18,38,51470
2016-01-18,39,51049
2016-01-18,40,49832
2016-01-18,41,48461
2016-01-18,42,46323
2016-01-18,43,44237
2016-01-18,44,41555
2016-01-18,45,38964
2016-01-18,46,36587
2016-01-18,47,34069
2016-01-18,48,33331
2016-01-19,1,33984
2016-01-19,2,34486
2016-01-19,3,34281
2016-01-19,4,33672
2016-01-19,5,33201
2016-01-19,6,33275
2016-01-19,7,33042
2016-01-19,8,32521
2016-01-19,9,32128
2016-01-19,10,32262
2016-01-19,11,32692
2016-01-19,12,34218
2016-01-19,13,37840
2016-01-19,14,40927
2016-01-19,15,44672
2016-01-19,16,47208
2016-01-19,17,47649
2016-01-19,18,47584
2016-01-19,19,48140
2016-01-19,20,48274
2016-01-19,21,47950
2016-01-19,22,47557
2016-01-19,23,47508
2016-01-19,24,47155
2016-01-19,25,46911
2016-01-19,26,46491
2016-01-19,27,46390
2016-01-19,28,46283
2016-01-19,29,46518
2016-01-19,30,46531
2016-01-19,31,46254
2016-01-19,32,47395
2016-01-19,33,48916
2016-01-19,34,51138
2016-01-19,35,52157
2016-01-19,36,52133
2016-01-19,37,51783
2016-01-19,38,51328
2016-01-19,39,51051
2016-01-19,40,49879
2016-01-19,41,48913
2016-01-19,42,46858
2016-01-19,43,44829
2016-01-19,44,42483
2016-01-19,45,40484
2016-01-19,46,38023
2016-01-19,47,35352
2016-01-19,48,34710
2016-01-20,1,34438
2016-01-20,2,34691
2016-01-20,3,34489
2016-01-20,4,33859
2016-01-20,5,33485
2016-01-20,6,33510
2016-01-20,7,33032
2016-01-20,8,32573
2016-01-20,9,32446
2016-01-20,10,32484
2016-01-20,11,34223
2016-01-20,12,35832
2016-01-20,13,38297
2016-01-20,14,41158
2016-01-20,15,45746
2016-01-20,16,48122
2016-01-20,17,48933
2016-01-20,18,48774
2016-01-20,19,48845
2016-01-20,20,48613
2016-01-20,21,48409
2016-01-20,22,47927
2016-01-20,23,47701
