SettlementDate,SettlementPeriod,Generation
2016-01-11,40,45946
2016-01-11,41,43975
2016-01-11,42,42128
2016-01-11,43,40176
2016-01-11,44,37718
2016-01-11,45,35403
2016-01-11,46,33304
2016-01-11,47,30790
2016-01-11,48,27890
2016-01-12,1,28739
2016-01-12,2,29066
2016-01-12,3,28745
2016-01-12,4,27905
2016-01-12,5,27276
2016-01-12,6,27234
2016-01-12,7,26702
2016-01-12,8,26008
2016-01-12,9,25765
2016-01-12,10,25756
2016-01-12,11,26424
2016-01-12,12,27868
2016-01-12,13,31254
2016-01-12,14,34749
2016-01-12,15,39204
2016-01-12,16,41364
2016-01-12,17,42124
2016-01-12,18,42001
2016-01-12,19,42463
2016-01-12,20,42474
2016-01-12,21,42215
2016-01-12,22,42038
2016-01-12,23,42257
2016-01-12,24,42492
2016-01-12,25,43014
2016-01-12,26,42874
2016-01-12,27,42925
2016-01-12,28,42845
2016-01-12,29,43040
2016-01-12,30,42721
2016-01-12,31,42695
2016-01-12,32,43933
2016-01-12,33,45542
2016-01-12,34,47608
2016-01-12,35,48045
2016-01-12,36,47675
2016-01-12,37,47768
2016-01-12,38,47533
2016-01-12,39,46483
2016-01-12,40,45170
2016-01-12,41,43774
2016-01-12,42,41852
2016-01-12,43,39829
2016-01-12,44,37463
2016-01-12,45,35014
2016-01-12,46,32891
2016-01-12,47,30530
2016-01-12,48,29290
2016-01-13,1,28832
2016-01-13,2,29083
2016-01-13,3,28912
2016-01-13,4,28258
2016-01-13,5,27823
2016-01-13,6,27935
2016-01-13,7,27679
2016-01-13,8,27146
2016-01-13,9,26870
2016-01-13,10,26949
2016-01-13,11,27700
2016-01-13,12,29106
2016-01-13,13,32548
2016-01-13,14,36244
2016-01-13,15,40739
2016-01-13,16,43217
2016-01-13,17,43823
2016-01-13,18,43643
2016-01-13,19,44127
2016-01-13,20,44089
2016-01-13,21,43937
2016-01-13,22,43785
2016-01-13,23,43639
2016-01-13,24,43530
2016-01-13,25,43736
2016-01-13,26,43528
2016-01-13,27,43406
2016-01-13,28,43503
2016-01-13,29,43836
2016-01-13,30,44036
2016-01-13,31,44452
2016-01-13,32,45570
2016-01-13,33,47191
2016-01-13,34,49027
2016-01-13,35,49387
2016-01-13,36,48953
2016-01-13,37,48668
2016-01-13,38,48862
2016-01-13,39,48161
2016-01-13,40,46970
2016-01-13,41,45694
2016-01-13,42,43783
2016-01-13,43,41598
2016-01-13,44,39184
2016-01-13,45,36776
2016-01-13,46,34489
2016-01-13,47,31827
2016-01-13,48,29271
2016-01-14,1,30069
2016-01-14,2,30310
2016-01-14,3,29966
2016-01-14,4,29235
2016-01-14,5,28561
2016-01-14,6,28522
2016-01-14,7,27992
2016-01-14,8,27492
2016-01-14,9,27264
2016-01-14,10,27248
2016-01-14,11,27872
2016-01-14,12,29211
2016-01-14,13,32574
2016-01-14,14,36089
2016-01-14,15,40322
2016-01-14,16,42687
2016-01-14,17,43470
2016-01-14,18,43146
2016-01-14,19,43703
2016-01-14,20,43897
2016-01-14,21,43674
2016-01-14,22,43456
2016-01-14,23,43318
2016-01-14,24,43211
2016-01-14,25,43172
2016-01-14,26,42932
2016-01-14,27,42850
2016-01-14,28,42765
2016-01-14,29,42633
2016-01-14,30,42696
2016-01-14,31,42845
2016-01-14,32,44085
2016-01-14,33,45411
2016-01-14,34,47239
2016-01-14,35,48467
2016-01-14,36,48340
2016-01-14,37,48501
2016-01-14,38,48179
2016-01-14,39,47736
2016-01-14,40,46406
2016-01-14,41,45033
2016-01-14,42,43420
2016-01-14,43,41393
2016-01-14,44,38835
2016-01-14,45,36537
2016-01-14,46,34423
2016-01-14,47,31913
2016-01-14,48,30277
2016-01-15,1,29879
2016-01-15,2,30125
2016-01-15,3,29866
2016-01-15,4,29235
2016-01-15,5,28742
2016-01-15,6,28659
2016-01-15,7,28249
2016-01-15,8,27909
2016-01-15,9,27645
2016-01-15,10,27648
2016-01-15,11,28173
2016-01-15,12,29497
2016-01-15,13,32897
2016-01-15,14,36168
2016-01-15,15,40699
2016-01-15,16,43251
2016-01-15,17,43988
2016-01-15,18,43716
2016-01-15,19,44179
2016-01-15,20,43858
2016-01-15,21,43364
2016-01-15,22,43034
2016-01-15,23,42609
2016-01-15,24,42111
2016-01-15,25,41819
2016-01-15,26,41391
2016-01-15,27,41269
2016-01-15,28,41233
2016-01-15,29,41437
2016-01-15,30,41660
2016-01-15,31,41950
2016-01-15,32,43182
2016-01-15,33,44969
2016-01-15,34,47313
2016-01-15,35,48511
2016-01-15,36,48511
2016-01-15,37,48041
2016-01-15,38,47644
2016-01-15,39,46835
2016-01-15,40,45455
2016-01-15,41,44087
2016-01-15,42,42655
2016-01-15,43,40784
2016-01-15,44,38866
2016-01-15,45,37020
2016-01-15,46,35504
2016-01-15,47,33313
2016-01-15,48,30490
2016-01-16,1,31615
2016-01-16,2,31800
2016-01-16,3,31379
2016-01-16,4,30532
2016-01-16,5,29964
2016-01-16,6,29915
2016-01-16,7,29392
2016-01-16,8,28874
2016-01-16,9,28517
2016-01-16,10,28285
2016-01-16,11,28483
2016-01-16,12,28775
2016-01-16,13,30313
2016-01-16,14,31455
2016-01-16,15,33222
2016-01-16,16,34598
2016-01-16,17,36762
2016-01-16,18,38748
2016-01-16,19,40144
2016-01-16,20,40620
2016-01-16,21,40977
2016-01-16,22,41042
2016-01-16,23,41063
2016-01-16,24,41180
2016-01-16,25,41109
2016-01-16,26,40924
2016-01-16,27,40536
2016-01-16,28,40305
2016-01-16,29,40422
2016-01-16,30,40508
2016-01-16,31,41032
2016-01-16,32,41778
2016-01-16,33,43488
2016-01-16,34,46208
2016-01-16,35,48027
2016-01-16,36,48244
2016-01-16,37,47686
2016-01-16,38,46626
2016-01-16,39,45297
2016-01-16,40,43547
2016-01-16,41,42262
2016-01-16,42,40761
2016-01-16,43,39343
2016-01-16,44,37700
2016-01-16,45,36113
2016-01-16,46,34973
2016-01-16,47,33292
2016-01-16,48,31923
2016-01-17,1,31896
2016-01-17,2,32000
2016-01-17,3,31415
2016-01-17,4,30578
2016-01-17,5,29948
2016-01-17,6,29625
2016-01-17,7,29206
2016-01-17,8,28551
2016-01-17,9,27964
2016-01-17,10,27639
2016-01-17,11,27519
2016-01-17,12,27653
2016-01-17,13,28417
2016-01-17,14,29001
2016-01-17,15,29861
2016-01-17,16,30715
2016-01-17,17,32218
2016-01-17,18,34146
2016-01-17,19,36482
2016-01-17,20,38121
2016-01-17,21,39558
2016-01-17,22,40269
2016-01-17,23,40889
2016-01-17,24,41374
2016-01-17,25,41884
2016-01-17,26,41854
2016-01-17,27,41674
2016-01-17,28,41558
2016-01-17,29,41748
2016-01-17,30,41782
2016-01-17,31,42226
2016-01-17,32,42841
2016-01-17,33,44495
2016-01-17,34,46912
2016-01-17,35,47799
2016-01-17,36,47431
2016-01-17,37,46495
2016-01-17,38,45457
2016-01-17,39,44146
2016-01-17,40,42833
2016-01-17,41,41467
2016-01-17,42,39726
2016-01-17,43,38065
2016-01-17,44,36211
2016-01-17,45,34152
2016-01-17,46,32155
2016-01-17,47,30061
2016-01-17,48,32268
2016-01-18,1,28534
2016-01-18,2,29041
2016-01-18,3,29002
2016-01-18,4,28505
2016-01-18,5,28141
2016-01-18,6,28227
2016-01-18,7,27956
2016-01-18,8,27537
2016-01-18,9,27366
2016-01-18,10,27523
2016-01-18,11,28337
2016-01-18,12,29755
2016-01-18,13,33403
2016-01-18,14,37014
2016-01-18,15,41579
2016-01-18,16,43856
2016-01-18,17,45193
2016-01-18,18,45292
